Date,Close,Date,Close,Date,Close
4/8/2016,2047.6,4/8/2016,118.43,4/8/2016,132.01
4/11/2016,2041.99,4/11/2016,120.03,4/11/2016,131.84
4/12/2016,2061.72,4/12/2016,120.05,4/12/2016,130.93
4/13/2016,2082.42,4/13/2016,118.77,4/13/2016,131.39
4/14/2016,2082.78,4/14/2016,117.11,4/14/2016,130.76
4/15/2016,2080.73,4/15/2016,117.92,4/15/2016,131.88
4/18/2016,2094.34,4/18/2016,117.74,4/18/2016,131.31
4/19/2016,2100.8,4/19/2016,119.58,4/19/2016,130.9
4/20/2016,2102.4,4/20/2016,118.97,4/20/2016,129.46
4/21/2016,2091.48,4/21/2016,119.42,4/21/2016,128.69
4/22/2016,2091.58,4/22/2016,117.89,4/22/2016,128.36
4/25/2016,2087.79,4/25/2016,118.23,4/25/2016,127.83
4/26/2016,2091.7,4/26/2016,118.7,4/26/2016,127.25
4/27/2016,2095.15,4/27/2016,119.04,4/27/2016,128.52
4/28/2016,2075.81,4/28/2016,121.29,4/28/2016,129.05
4/29/2016,2065.3,4/29/2016,123.65,4/29/2016,129.38
5/2/2016,2081.43,5/2/2016,123.24,5/2/2016,127.82
5/3/2016,2063.37,5/3/2016,122.96,5/3/2016,129.43
5/4/2016,2051.12,5/4/2016,122.21,5/4/2016,130.14
5/5/2016,2050.63,5/5/2016,122.07,5/5/2016,131.01
5/6/2016,2057.14,5/6/2016,123.18,5/6/2016,130.45
5/9/2016,2058.69,5/9/2016,120.65,5/9/2016,130.86
5/10/2016,2084.39,5/10/2016,120.98,5/10/2016,130.87
5/11/2016,2064.46,5/11/2016,122.12,5/11/2016,131.61
5/12/2016,2064.11,5/12/2016,121.16,5/12/2016,131.01
5/13/2016,2046.61,5/13/2016,121.71,5/13/2016,132.28
5/16/2016,2066.66,5/16/2016,121.8,5/16/2016,131.14
5/17/2016,2047.21,5/17/2016,122.22,5/17/2016,131.36
5/18/2016,2047.63,5/18/2016,120.1,5/18/2016,129.49
5/19/2016,2040.04,5/19/2016,119.87,5/19/2016,130.05
5/20/2016,2052.32,5/20/2016,119.71,5/20/2016,130.15
5/23/2016,2048.04,5/23/2016,119.37,5/23/2016,130.44
5/24/2016,2076.06,5/24/2016,117.3,5/24/2016,129.86
5/25/2016,2090.54,5/25/2016,116.98,5/25/2016,129.37
5/26/2016,2090.1,5/26/2016,116.58,5/26/2016,130.04
5/27/2016,2099.06,5/27/2016,115.62,5/27/2016,129.85
5/31/2016,2096.96,5/31/2016,116.06,5/31/2016,130.16
